tweet,location,request_type,urgency
Medical emergency reported in Bhopal. Need Medical.,Bhopal,Medical,Non-Urgent
Looking for volunteers in Bhubaneswar for Food & Supplies help.,Bhubaneswar,Food & Supplies,Non-Urgent
Looking for volunteers in Guwahati for Humanitarian help.,Guwahati,Humanitarian,Non-Urgent
"Supplies running low in Mysuru, need Humanitarian.",Mysuru,Humanitarian,Urgent
Requesting Humanitarian support in Bhubaneswar. Please help.,Bhubaneswar,Humanitarian,Urgent
Senior citizens need Food & Supplies assistance in Hyderabad.,Hyderabad,Food & Supplies,Non-Urgent
"Supplies running low in Imphal, need Humanitarian.",Imphal,Humanitarian,Non-Urgent
Requesting Medical support in Goa. Please help.,Goa,Medical,Urgent
Looking for volunteers in Bengaluru for Humanitarian help.,Bengaluru,Humanitarian,Urgent
Urgent call for Medical aid in Mumbai.,Mumbai,Medical,Non-Urgent
Need immediate assistance in Gurugram. Situation critical.,Gurugram,Humanitarian,Non-Urgent
Medical emergency reported in Gurugram. Need Medical.,Gurugram,Medical,Urgent
Urgent call for Medical aid in Hyderabad.,Hyderabad,Medical,Non-Urgent
"Family stranded in Warangal, require Food & Supplies.",Warangal,Food & Supplies,Urgent
Community in Noida asking for Food & Supplies assistance.,Noida,Food & Supplies,Urgent
Looking for volunteers in Jammu for Humanitarian help.,Jammu,Humanitarian,Non-Urgent
"Supplies running low in Indore, need Medical.",Indore,Medical,Non-Urgent
Requesting Humanitarian support in Noida. Please help.,Noida,Humanitarian,Non-Urgent
"Family stranded in Lucknow, require Humanitarian.",Lucknow,Humanitarian,Non-Urgent
Requesting Medical support in Goa. Please help.,Goa,Medical,Urgent
Senior citizens need Humanitarian assistance in Jaipur.,Jaipur,Humanitarian,Non-Urgent
Need immediate assistance in Udaipur. Situation critical.,Udaipur,Food & Supplies,Non-Urgent
Children in Vadodara require urgent Humanitarian support.,Vadodara,Humanitarian,Urgent
"Supplies running low in Chennai, need Medical.",Chennai,Medical,Non-Urgent
"Family stranded in Leh, require Food & Supplies.",Leh,Food & Supplies,Urgent
Requesting Humanitarian support in Goa. Please help.,Goa,Humanitarian,Urgent
Children in Imphal require urgent Medical support.,Imphal,Medical,Non-Urgent
Need immediate assistance in Gurugram. Situation critical.,Gurugram,Medical,Urgent
Senior citizens need Medical assistance in Mysuru.,Mysuru,Medical,Urgent
Urgent call for Humanitarian aid in Itanagar.,Itanagar,Humanitarian,Urgent
"Family stranded in Gurugram, require Humanitarian.",Gurugram,Humanitarian,Urgent
Requesting Humanitarian support in Surat. Please help.,Surat,Humanitarian,Non-Urgent
"Family stranded in Indore, require Food & Supplies.",Indore,Food & Supplies,Urgent
"Family stranded in Jaipur, require Food & Supplies.",Jaipur,Food & Supplies,Urgent
Community in Bhopal asking for Humanitarian assistance.,Bhopal,Humanitarian,Urgent
Community in Siliguri asking for Humanitarian assistance.,Siliguri,Humanitarian,Non-Urgent
Urgent call for Humanitarian aid in Coimbatore.,Coimbatore,Humanitarian,Non-Urgent
Need immediate assistance in Srinagar. Situation critical.,Srinagar,Humanitarian,Urgent
Requesting Medical support in Chennai. Please help.,Chennai,Medical,Urgent
"Family stranded in Thiruvananthapuram, require Medical.",Thiruvananthapuram,Medical,Non-Urgent
Requesting Medical support in Bhubaneswar. Please help.,Bhubaneswar,Medical,Non-Urgent
Children in Mysuru require urgent Food & Supplies support.,Mysuru,Food & Supplies,Urgent
Need immediate assistance in Mumbai. Situation critical.,Mumbai,Humanitarian,Urgent
Senior citizens need Medical assistance in Lucknow.,Lucknow,Medical,Urgent
Requesting Humanitarian support in Mysuru. Please help.,Mysuru,Humanitarian,Non-Urgent
Senior citizens need Medical assistance in Surat.,Surat,Medical,Urgent
Children in Mumbai require urgent Food & Supplies support.,Mumbai,Food & Supplies,Urgent
"Supplies running low in Jaipur, need Food & Supplies.",Jaipur,Food & Supplies,Urgent
Children in Mumbai require urgent Humanitarian support.,Mumbai,Humanitarian,Urgent
Urgent call for Food & Supplies aid in Udaipur.,Udaipur,Food & Supplies,Urgent
Urgent call for Medical aid in Kanpur.,Kanpur,Medical,Urgent
Need immediate assistance in Jammu. Situation critical.,Jammu,Medical,Urgent
Looking for volunteers in Bhubaneswar for Medical help.,Bhubaneswar,Medical,Urgent
Looking for volunteers in Jammu for Medical help.,Jammu,Medical,Urgent
Looking for volunteers in Shillong for Food & Supplies help.,Shillong,Food & Supplies,Urgent
Requesting Humanitarian support in Srinagar. Please help.,Srinagar,Humanitarian,Urgent
Community in Bhubaneswar asking for Medical assistance.,Bhubaneswar,Medical,Urgent
Community in Kanpur asking for Food & Supplies assistance.,Kanpur,Food & Supplies,Urgent
Medical emergency reported in Bhopal. Need Humanitarian.,Bhopal,Humanitarian,Non-Urgent
Community in Hyderabad asking for Food & Supplies assistance.,Hyderabad,Food & Supplies,Non-Urgent
Community in Udaipur asking for Humanitarian assistance.,Udaipur,Humanitarian,Urgent
Requesting Humanitarian support in Thiruvananthapuram. Please help.,Thiruvananthapuram,Humanitarian,Non-Urgent
Urgent call for Medical aid in Vadodara.,Vadodara,Medical,Urgent
Requesting Medical support in Kolkata. Please help.,Kolkata,Medical,Urgent
Looking for volunteers in Warangal for Food & Supplies help.,Warangal,Food & Supplies,Non-Urgent
Community in Lucknow asking for Humanitarian assistance.,Lucknow,Humanitarian,Urgent
"Supplies running low in Bengaluru, need Medical.",Bengaluru,Medical,Urgent
Looking for volunteers in Mysuru for Food & Supplies help.,Mysuru,Food & Supplies,Non-Urgent
Need immediate assistance in Surat. Situation critical.,Surat,Humanitarian,Urgent
"Family stranded in Shillong, require Food & Supplies.",Shillong,Food & Supplies,Urgent
Senior citizens need Humanitarian assistance in Vadodara.,Vadodara,Humanitarian,Non-Urgent
Senior citizens need Medical assistance in Kanpur.,Kanpur,Medical,Non-Urgent
Children in Kochi require urgent Medical support.,Kochi,Medical,Urgent
"Family stranded in Noida, require Food & Supplies.",Noida,Food & Supplies,Non-Urgent
Children in Shillong require urgent Food & Supplies support.,Shillong,Food & Supplies,Urgent
Children in Kochi require urgent Medical support.,Kochi,Medical,Urgent
Children in Indore require urgent Food & Supplies support.,Indore,Food & Supplies,Urgent
Need immediate assistance in Indore. Situation critical.,Indore,Food & Supplies,Urgent
Community in Warangal asking for Medical assistance.,Warangal,Medical,Non-Urgent
Community in Jaipur asking for Medical assistance.,Jaipur,Medical,Non-Urgent
Children in Chennai require urgent Medical support.,Chennai,Medical,Urgent
Need immediate assistance in Mumbai. Situation critical.,Mumbai,Food & Supplies,Urgent
Need immediate assistance in Delhi. Situation critical.,Delhi,Food & Supplies,Non-Urgent
Children in Pune require urgent Medical support.,Pune,Medical,Non-Urgent
Medical emergency reported in Indore. Need Humanitarian.,Indore,Humanitarian,Urgent
Looking for volunteers in Ahmedabad for Food & Supplies help.,Ahmedabad,Food & Supplies,Non-Urgent
Community in Thiruvananthapuram asking for Humanitarian assistance.,Thiruvananthapuram,Humanitarian,Non-Urgent
Community in Aizawl asking for Food & Supplies assistance.,Aizawl,Food & Supplies,Non-Urgent
"Supplies running low in Jammu, need Medical.",Jammu,Medical,Non-Urgent
Urgent call for Medical aid in Mysuru.,Mysuru,Medical,Non-Urgent
Need immediate assistance in Bhubaneswar. Situation critical.,Bhubaneswar,Humanitarian,Urgent
Community in Delhi asking for Medical assistance.,Delhi,Medical,Urgent
Need immediate assistance in Mumbai. Situation critical.,Mumbai,Food & Supplies,Urgent
Looking for volunteers in Chennai for Food & Supplies help.,Chennai,Food & Supplies,Non-Urgent
"Supplies running low in Kochi, need Food & Supplies.",Kochi,Food & Supplies,Non-Urgent
Medical emergency reported in Udaipur. Need Medical.,Udaipur,Medical,Non-Urgent
Medical emergency reported in Itanagar. Need Food & Supplies.,Itanagar,Food & Supplies,Non-Urgent
"Family stranded in Hyderabad, require Humanitarian.",Hyderabad,Humanitarian,Urgent
Need immediate assistance in Chennai. Situation critical.,Chennai,Medical,Urgent
"Supplies running low in Guwahati, need Medical.",Guwahati,Medical,Non-Urgent
Requesting Food & Supplies support in Mysuru. Please help.,Mysuru,Food & Supplies,Urgent
Medical emergency reported in Leh. Need Food & Supplies.,Leh,Food & Supplies,Urgent
Medical emergency reported in Surat. Need Humanitarian.,Surat,Humanitarian,Non-Urgent
Senior citizens need Humanitarian assistance in Hyderabad.,Hyderabad,Humanitarian,Urgent
"Family stranded in Goa, require Food & Supplies.",Goa,Food & Supplies,Urgent
Requesting Medical support in Vadodara. Please help.,Vadodara,Medical,Urgent
"Family stranded in Patna, require Food & Supplies.",Patna,Food & Supplies,Urgent
Need immediate assistance in Srinagar. Situation critical.,Srinagar,Food & Supplies,Non-Urgent
Urgent call for Food & Supplies aid in Indore.,Indore,Food & Supplies,Urgent
Medical emergency reported in Itanagar. Need Food & Supplies.,Itanagar,Food & Supplies,Urgent
Requesting Food & Supplies support in Ranchi. Please help.,Ranchi,Food & Supplies,Urgent
Community in Ranchi asking for Medical assistance.,Ranchi,Medical,Urgent
Requesting Medical support in Vadodara. Please help.,Vadodara,Medical,Non-Urgent
Children in Hyderabad require urgent Medical support.,Hyderabad,Medical,Urgent
Senior citizens need Humanitarian assistance in Pune.,Pune,Humanitarian,Urgent
Need immediate assistance in Itanagar. Situation critical.,Itanagar,Food & Supplies,Urgent
Requesting Medical support in Goa. Please help.,Goa,Medical,Non-Urgent
Need immediate assistance in Srinagar. Situation critical.,Srinagar,Medical,Urgent
Need immediate assistance in Pune. Situation critical.,Pune,Humanitarian,Urgent
Urgent call for Food & Supplies aid in Agartala.,Agartala,Food & Supplies,Non-Urgent
"Family stranded in Imphal, require Humanitarian.",Imphal,Humanitarian,Urgent
"Supplies running low in Kochi, need Medical.",Kochi,Medical,Urgent
Looking for volunteers in Ahmedabad for Medical help.,Ahmedabad,Medical,Non-Urgent
Urgent call for Humanitarian aid in Indore.,Indore,Humanitarian,Urgent
Children in Siliguri require urgent Humanitarian support.,Siliguri,Humanitarian,Non-Urgent
Need immediate assistance in Itanagar. Situation critical.,Itanagar,Humanitarian,Non-Urgent
Looking for volunteers in Chennai for Humanitarian help.,Chennai,Humanitarian,Non-Urgent
Need immediate assistance in Surat. Situation critical.,Surat,Food & Supplies,Non-Urgent
Senior citizens need Food & Supplies assistance in Delhi.,Delhi,Food & Supplies,Urgent
Senior citizens need Medical assistance in Bengaluru.,Bengaluru,Medical,Non-Urgent
Children in Bhopal require urgent Food & Supplies support.,Bhopal,Food & Supplies,Non-Urgent
Community in Siliguri asking for Food & Supplies assistance.,Siliguri,Food & Supplies,Urgent
Urgent call for Medical aid in Jammu.,Jammu,Medical,Urgent
Requesting Medical support in Kolkata. Please help.,Kolkata,Medical,Non-Urgent
Senior citizens need Food & Supplies assistance in Kanpur.,Kanpur,Food & Supplies,Urgent
Need immediate assistance in Chandigarh. Situation critical.,Chandigarh,Humanitarian,Non-Urgent
Requesting Humanitarian support in Aizawl. Please help.,Aizawl,Humanitarian,Non-Urgent
Need immediate assistance in Patna. Situation critical.,Patna,Food & Supplies,Urgent
Community in Mumbai asking for Food & Supplies assistance.,Mumbai,Food & Supplies,Urgent
Urgent call for Medical aid in Siliguri.,Siliguri,Medical,Urgent
"Supplies running low in Srinagar, need Food & Supplies.",Srinagar,Food & Supplies,Urgent
Community in Srinagar asking for Humanitarian assistance.,Srinagar,Humanitarian,Urgent
Medical emergency reported in Cuttack. Need Food & Supplies.,Cuttack,Food & Supplies,Non-Urgent
"Supplies running low in Delhi, need Humanitarian.",Delhi,Humanitarian,Urgent
"Family stranded in Udaipur, require Food & Supplies.",Udaipur,Food & Supplies,Non-Urgent
Need immediate assistance in Nagpur. Situation critical.,Nagpur,Medical,Non-Urgent
Urgent call for Medical aid in Bhopal.,Bhopal,Medical,Non-Urgent
Looking for volunteers in Hyderabad for Humanitarian help.,Hyderabad,Humanitarian,Urgent
Senior citizens need Food & Supplies assistance in Kochi.,Kochi,Food & Supplies,Urgent
Community in Thiruvananthapuram asking for Food & Supplies assistance.,Thiruvananthapuram,Food & Supplies,Non-Urgent
Senior citizens need Medical assistance in Hyderabad.,Hyderabad,Medical,Urgent
"Family stranded in Guwahati, require Medical.",Guwahati,Medical,Non-Urgent
"Supplies running low in Imphal, need Food & Supplies.",Imphal,Food & Supplies,Urgent
Requesting Medical support in Gurugram. Please help.,Gurugram,Medical,Non-Urgent
Community in Chennai asking for Food & Supplies assistance.,Chennai,Food & Supplies,Urgent
Community in Mysuru asking for Food & Supplies assistance.,Mysuru,Food & Supplies,Non-Urgent
Requesting Medical support in Kochi. Please help.,Kochi,Medical,Urgent
Looking for volunteers in Jaipur for Medical help.,Jaipur,Medical,Urgent
"Family stranded in Aizawl, require Food & Supplies.",Aizawl,Food & Supplies,Non-Urgent
Urgent call for Food & Supplies aid in Shillong.,Shillong,Food & Supplies,Urgent
Requesting Food & Supplies support in Pune. Please help.,Pune,Food & Supplies,Non-Urgent
Urgent call for Medical aid in Goa.,Goa,Medical,Non-Urgent
Community in Surat asking for Food & Supplies assistance.,Surat,Food & Supplies,Non-Urgent
Urgent call for Humanitarian aid in Udaipur.,Udaipur,Humanitarian,Non-Urgent
Children in Leh require urgent Food & Supplies support.,Leh,Food & Supplies,Non-Urgent
"Family stranded in Vadodara, require Medical.",Vadodara,Medical,Non-Urgent
Need immediate assistance in Noida. Situation critical.,Noida,Medical,Non-Urgent
Medical emergency reported in Ahmedabad. Need Humanitarian.,Ahmedabad,Humanitarian,Non-Urgent
Urgent call for Humanitarian aid in Delhi.,Delhi,Humanitarian,Non-Urgent
Looking for volunteers in Shillong for Food & Supplies help.,Shillong,Food & Supplies,Non-Urgent
Requesting Medical support in Delhi. Please help.,Delhi,Medical,Non-Urgent
Community in Gurugram asking for Food & Supplies assistance.,Gurugram,Food & Supplies,Non-Urgent
Looking for volunteers in Jammu for Medical help.,Jammu,Medical,Non-Urgent
"Family stranded in Patna, require Food & Supplies.",Patna,Food & Supplies,Non-Urgent
Children in Cuttack require urgent Food & Supplies support.,Cuttack,Food & Supplies,Urgent
Medical emergency reported in Thiruvananthapuram. Need Food & Supplies.,Thiruvananthapuram,Food & Supplies,Non-Urgent
Need immediate assistance in Jaipur. Situation critical.,Jaipur,Medical,Non-Urgent
Need immediate assistance in Warangal. Situation critical.,Warangal,Humanitarian,Urgent
Need immediate assistance in Chennai. Situation critical.,Chennai,Food & Supplies,Urgent
Looking for volunteers in Jammu for Food & Supplies help.,Jammu,Food & Supplies,Urgent
Looking for volunteers in Shillong for Humanitarian help.,Shillong,Humanitarian,Non-Urgent
